Country N 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
BRA 23 3 5 5 1 3 2 5 5 5 3 3 1 2 1 1 1 1 1 4 1 1 2 6 
ITA 23 1 1 1 3 1 1 2 1 4 1 1 2 4 3 2 7 6 9 7 7 6 6 11
RUS 21 4 3 6 2 6 4 3 3 2 4 2 3 1 7 - - 3 2 3 3 2 1 8 
SRB 15 - - - - - - - 7 6 - 4 4 3 2 3 2 5 9 2 2 3 9 9
NED 16 2 4 4 5 5 12 1 4 3 10 5 7 7 10 - - - - - 12 11 - - 
USA 15 7 6 3 9 12 10 - - - - 6 9 - - - - 10 3 1 6 8 7 2
CUB 22 - 2 2 4 2 3 4 2 1 2 8 5 13 13 7 3 7 7 10 4 4 8 3
FRA 17 5 8 11 - - - - - - 7 7 5 7 10 5 10 2 6 10 9 12 12 7
BUL 15 - - - - 4 5 8 6 7 - - - - 5 4 5 4 5 7 10 7 5 4
POL 15 - - - - - - - - 10 8 8 7 5 9 7 4 7 4 5 11 10 3 1
CZE 1 - - - - - - - - - - - - 4 - - - - - - - - - - 
ESP 11 - - - - - 7 10 9 8 5 11 9 5 5 7 - - - 13 - - - -
ARG 14 - - - - - - 7 8 9 6 8 13 9 - - 10 7 13 - 5 5 4 10 
GRE 9 - - - 11 7 9 11 - - - - 9 9 7 5 7 - - - - - - -
POR 9 - - - - - - - - - 10 - 13 13 13 10 5 13 - - - - 14 16
JPN 19 6 7 10 6 8 8 9 12 - - - 9 13 13 10 10 13 13 6 15 - 15 15
CHN 14 8 - 9 7 11 11 6 10 - - - - 9 - 10 - 13 9 7 13 15 - -
KOR 14 - 9 8 10 9 6 - 11 11 - - - - - - - 10 9 13 14 16 13 14
CAN 6 - 10 7 - - - - - - 8 11 - - - - - - 13 - - - - 12
FIN 8 - - - 12 - - - - - - - - - - - - 10 7 10 8 13 10 13
VEN 6 - - - - - - - - - - - 13 13 13 - 7 - - 13 16 - - -
GER 9 - - 12 8 10 - - - - - - 13 9 10 - - - - - - 9 11 5
AUS 1 - - - - - - - - - 10 - - - - - - - - - - - - -
EGY 4 - - - - - - - - - - - - - - - - 13 13 13 - 14 - -
PUR 1 - - - - - - - - - - - - - - - - - - - - - 16 -
